route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__284___,CRTM,284,MADRID (Av. de América)-VELILLA-LOECHES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__284___.aspx,8EBF42,FFFFFF
8__285___,CRTM,285,COSLADA (San Fernando FFCC)-VELILLA-ARGANDA DEL REY,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__285___.aspx,8EBF42,FFFFFF
8__286___,CRTM,286,MADRID (Ciudad Lineal)-COSLADA (Ciudad 70),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__286___.aspx,8EBF42,FFFFFF
8__287___,CRTM,287,MADRID (Alsacia)-COSLADA (Barrio Estación),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__287___.aspx,8EBF42,FFFFFF
8__288___,CRTM,288,MADRID (Ciudad Lineal)-COSLADA-SAN FERNANDO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__288___.aspx,8EBF42,FFFFFF
8__289___,CRTM,289,MADRID (Ciudad Lineal)-COSLADA (Hospital),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__289___.aspx,8EBF42,FFFFFF
8__290___,CRTM,290,MADRID (El Cañaveral) - COSLADA / PLENILUNIO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__290___.aspx,8EBF42,FFFFFF
8__312___,CRTM,312,MADRID (Conde de Casal)-ARGANDA (El Mirador),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__312___.aspx,8EBF42,FFFFFF
8__312_A__,CRTM,312A,MADRID (Conde de Casal)-ARGANDA (El Mirador por La Poveda),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__312_A__.aspx,8EBF42,FFFFFF
8__313___,CRTM,313,MADRID (Conde de Casal)-VALDILECHA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__313___.aspx,8EBF42,FFFFFF
8__320___,CRTM,320,ARGANDA DEL REY-ALCALÁ DE HENARES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__320___.aspx,8EBF42,FFFFFF
8__321___,CRTM,321,ARGANDA (Hospital)-VILLAR DEL OLMO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__321___.aspx,8EBF42,FFFFFF
8__322___,CRTM,322,ARGANDA DEL REY (Hospital)-AMBITE,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__322___.aspx,8EBF42,FFFFFF
8__326___,CRTM,326,MADRID (Conde de Casal)-MONDEJAR-DRIEBES,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__326___.aspx,8EBF42,FFFFFF
8__330___,CRTM,330,RIVAS-ARGANDA (Hospital)-MORATA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__330___.aspx,8EBF42,FFFFFF
8__331___,CRTM,331,MADRID (Conde de Casal)-RIVAS (Sta. Mónica)-RIVAS FUTURA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__331___.aspx,8EBF42,FFFFFF
8__332___,CRTM,332,MADRID (Conde de Casal)-RIVAS PUEBLO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__332___.aspx,8EBF42,FFFFFF
8__333___,CRTM,333,MADRID (Conde de Casal)-RIVAS-URB. (Covibar II),,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__333___.aspx,8EBF42,FFFFFF
8__334___,CRTM,334,MADRID (Conde de Casal)-RIVAS-URB.-RIVAS PUEBLO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__334___.aspx,8EBF42,FFFFFF
8__336___,CRTM,336,MADRID (Conde de Casal)-MORATA DE TAJUÑA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__336___.aspx,8EBF42,FFFFFF
8__337___,CRTM,337,MADRID (Conde de Casal)-CHINCHÓN-VALDELAGUNA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__337___.aspx,8EBF42,FFFFFF
8__339___,CRTM,339,MADRID (Conde de Casal)-VALDEMINGÓMEZ,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__339___.aspx,8EBF42,FFFFFF
8__340___,CRTM,340,TORREJÓN DE ARDOZ-MEJORADA DEL CAMPO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__340___.aspx,8EBF42,FFFFFF
8__341___,CRTM,341,MADRID (Conde de Casal)-MEJORADA-VELILLA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__341___.aspx,8EBF42,FFFFFF
8__350_A__,CRTM,350A,ARGANDA (Hospital)-ESTREMERA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__350_A__.aspx,8EBF42,FFFFFF
8__350_B__,CRTM,350B,ARGANDA (Hospital)-VILLAREJO-FUENTIDUEÑA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__350_B__.aspx,8EBF42,FFFFFF
8__350_C__,CRTM,350C,ARGANDA (Hospital)-BELMONTE-VILLAMANRIQUE,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__350_C__.aspx,8EBF42,FFFFFF
8__351___,CRTM,351,MADRID (Rda. Atocha)-ESTREMERA-BARAJAS DE MELO,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__351___.aspx,8EBF42,FFFFFF
8__352___,CRTM,352,MADRID (Rda. Atocha)-FUENTIDUEÑA-TARANCÓN,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__352___.aspx,8EBF42,FFFFFF
8__353___,CRTM,353,MADRID (Rda. Atocha)-VILLAMANRIQUE-STA.CRUZ,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__353___.aspx,8EBF42,FFFFFF
8__355___,CRTM,355,FUENTIDUEÑA DE TAJO-CENTRO PENITENCIARIO-ESTREMERA,,3,http://www.crtm.es/tu-transporte-publico/autobuses-interurbanos/lineas/8__355___.aspx,8EBF42,FFFFFF
